title,artist,image_url,image_path,inventory,date,type,technique,dimensions,subject,school,room,description
Atlantic Codex  (Codex Atlanticus) f. 710 recto,Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Leonardo-da-Vinci-Codice-Atlantico-Mazzocchio-calcoli-riferiti-al-mazzocchio-1024x571.jpg,ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus)_f._710_recto.jpg,,,Drawing,,,,,Sala Federiciana,Drawing of a mazzocchio with related calculations.
Figured casket,Scultore lombardo,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Scultore-lombardo-Cofanetto-a-figure-profane-960x1024.jpg,ambrosiana_images/Figured_casket.jpg,,,Object,,14.5 × 14.5 × 10 cm,,,8,"The sides of this rectangular casket, with a sloping lid, bear a series of carved figures of secular subjects. It must therefore have been a small coffer for jewellery."
The Kiss,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2020/02/Hayez_ilbacio-1024x1024.jpg,ambrosiana_images/The_Kiss.jpg,,dopo 1859,Painting,,"26,2 x 22,1 cm",,,19,"This watercolour, signed on the right in the center “Hayez Fran.co”, is not a preparatory study indeed, but a d’après from a particularly appreciated painting, according to a frequent practice of Hayez. It is the famous The kiss. Episode of youth. Costumes of the XIV century (Milan, Pinacoteca di Brera), presented in 1859 at the annual exhibition of the Academy of Fine Arts of Brera. The watercolor is quite faithful to the original, except for the simplified background.
The artist painted it as a gift for his dear friend Giuseppina Negroni Prati Morosini. The work is mentioned for the first time in the collection of the Vincenzo Negroni Prati Morosini heirs in 1962 and in the same year it entered the Ambrosiana collections, together with four portraits of the same family executed by Hayez himself, including that of Giuseppina Negroni Prati Morosini."
llias picta,NA,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Combattimento-del-V-Libro-Diomede-assistito-da-Atena-ferisce-Fegeo-1024x884.jpg,ambrosiana_images/llias_picta.jpg,,,Manoscritto,,,,,NA,"The little paper Codex came to the Ambrosiana library in the autumn of 1609 with the astonishing collection of manuscripts belonged to Gian Vincenzo Pinelli and acquired by Cardinal Federico Borromeo after lengthy negotiations.
It was a schoolbook, with the right-hand side of each page taken up with narrative and etiological comments and explanations concerning the Iliad, and the left by the miniatures, all arranged facing the left. In the early XIX century, the parchment fragments were detached from the supporting papers and were thus available to new scholarly studies. It was immediately clear that they had been cut out of a Codex of the Iliad, as splendid as ever as unique, so that there were almost no other relics of the ancient world with which they could be compared, to help with dating the book and guessing where it might have been produced.
Paleographic research led to the era of the Byzantine Emperor Anastasius I (491-518), when a type of script known as biblical majuscule, used mainly for the transmission of Christian texts, featured the chiaroscuro and ornamentation of the letters used by the Ilias Picta copyist. But the copyist applied them in a style called rounded uncial, the fine script of profane literature, out of use for three centuries. Careful studies on the miniatures revealed they were neither originals, nor copied from a single model, but rather composites of different elements and traditions in the figurative arts and craftsmanship, datable to between the second and the fifth centuries AD: hence the difference among the miniatures, all apparently from the hand of a single good craftsman.
As for the provenance of the Ilias Picta, comparisons with the similar script of the same period in two parchment fragments, one found in Egypt and the other possibly reused there in the seventh or eighth century to write a Coptic text, lead us to favor Alexandria. Such a work had to be carried out in a city, where there were patrons and wealthy cultured clients, libraries and an artistic heritage to provide models for the script, text and miniatures, as well as at least one copyist and a miniaturist capable of doing the work. It was then during the Byzantine period in Calabria and Sicily at the height of the twelfth century that the small Homeric manual was prepared and the surviving miniatures cut and pasted from their original folios."
The Ambrosian Virgil of Francesco Petrarca,NA,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Frontespizio-del-Virgilio-Ambrosiano-o-Virgilio-del-Petrarca-con-note-autografe-di-Francesco-Petrarca-686x1024.jpg,ambrosiana_images/The_Ambrosian_Virgil_of_Francesco_Petrarca.jpg,,1300-1326,,,41O x 265 mm,,,Non esposta,"In the course of his active scholarly life, Francesco Petrarca – Pe­trarch – amassed an enviable library embracing both his beloved classical authors and the Church Fathers. He sought out texts that were little known at that point; he wove friendships that allowed him gradually to increase the number of volumes in his armarium. With his notes on his own reading, and the textual collations and conjectural readings he added in the margins of his books, he put back into circulation many works not often read in the Middle Ages: Livy’s Decades is a case in point, as are some of Cicero’s orations such as the Pro Archia. The most famous manuscript in his possession, the Ambrosian Virgil, was acquired for the Am­brosiana Library at the behest of Cardinal Federico Borromeo.
The fame of this codex is linked to the ‘Virgilian allegory’, a miniature by the Sienese painter Simone Martini, which Petrarch chose as a delightful gateway to the volume, and above all to the eight lines on the verso of the front cover in which he laments the fate of Laura."
Naturalis Historia,Plinio il Vecchio (23-79 dC),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Pagina-miniata-con-capolettera-M-della-Naturalis-Historia-763x1024.jpg,ambrosiana_images/Naturalis_Historia.jpg,,1389,Manoscritto,,39 × 27 cm,,,Non esposta,"This edition of Pliny’s Naturalis Historia was part of the collection of Pasquino Capelli, one of the most famous bibliophiles at Gian Galeazzo Visconti’s court. His story, sadly, is well known. A lover of the classics and a great collector of manuscripts, which he sought out during his travels, particularly in France, he was often sent on diplomatic missions as Chancellor to the Duke. For reasons we still do not know today, he fell out of favour with Gian Galeazzo and ended his days in prison, where he was executed in 1399. The Duke also took possession of his large collection of manuscripts, which were added to the Visconti library in the same way as other no less prestigious collections, such as those of Francesco il Vecchio of Car­rara and even Petrarch."
Burse,Artista dell’Italia centrale,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Artista-dellitalia-centrale-Borsa-liturgica-1018x1024.jpg,ambrosiana_images/Burse.jpg,,c. 1400 - 1410,Object,,20 × 20 cm,Sacred art,,8,"The burse, which was used to contain corporals – the linen cloths used in the celebration of the Mass – is said to have belonged to the antipope John XXIII, who lived in the fourteenth and fifteenth centuries during the so-called Western Schism. Lavishly and finely embroidered, the burse bears an image of Christ crowning his mother amid angel musicians on one side, and the Glory of the Virgin on the other."
Libro d’Ore Borromeo,Cristoforo de Predis (1440-1486),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Libro-d-Ore-Borromeo-737x1024.jpg,ambrosiana_images/Libro_d’Ore_Borromeo.jpg,,,Manoscritto,,,,,NA,"Cardinal Federico Borromeo was particularly fond of this prayer book, which was almost a family heirloom. It contained his family’s coats of arms and the portraits of the two ancestors who had commis­sioned it, Count Giovanni III Borromeo (1439-95) and his wife Cle­ofa Pio da Carpi, which he recognised in the bas de page miniature decoration that introduces Matins in the Office of the Virgin (fol. 16r).
The Book of Hours is richly illuminated, even in the friezes, often on gold leaf, with elegant filigree decoration in the margins, done in pen and ink on many folios. It is a codex that boasts the signature of one of the most famous masters in Lombardy during of the Sforza period, Cristoforo de Predis (c. 1443-ante 24 january 1486). His name appears in fact on fol. 15v, in the folio with the Marriage of the Virgin, which contains in its margins the family coats of arms, a silver bit on a red field (today almost illegible) and a lion rampant on an azure field, and in the centre the em­blem of a resting camel with a plumed crown on its hump. A mar­riage that alludes to another marriage, that of Isabella Borromeo and Francesco Attendalo Bolognini. The prayer book could have been produced in the years 1480-1485 as a splendid gift for the second marriage of Isabelle. The Book of Hours, the book far lay piety, often features as a wedding gift and it is not surpris­ing to find it mentioned, along with a few other books of devotion, in dowry inventories of many young women of the Milanese bour­geoisie and aristocracy. The same Cristoforo de Predis had been called by the Borromeo family to produce another two little books of hours, for Francesco and Vitaliano, between 1471 and 1474, un­fortunately unidentified or currently lost, but documented in the family account books."
Noctes Atticae,Aulo Gellio,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-16-uomini-dotti-intorno-ad-Aulo-Gellio-696x1024.jpg,ambrosiana_images/Noctes_Atticae.jpg,,1448,Miniatura,,340 x 240 mm,,,NA,"This lavish illuminated edition of Aulus Gellius’Noctes Acticae was made for a patron whose name we unfortunately do not know. The crest, which is set in a laurel wreath between two athletic put­ti in the bas-de-page on fol. 91r, and illuminated with a rinceau in the pure Ferrara style, has not yet been identified. The manu­script may have belonged to a physician or a natural philosopher. Many notes in the margin of the text explain the technical and scientific terms used. The choice of this work by Gellius, with its we­alth of information about the philosophical and scientific knowled­ge of the Ancients, also suggests it was far a man of science. This was a well-known text in the Middle Ages. We know that Guarino da Verona owned a copy, from which our codex may have been ta­ken, and Angelo Decembrio takes it as a model for his De politia litteraria.
The colophon (fol. 419v) shows that the copyist, who is also anonymous, finished his work in Bologna in 1448, “indictione un­ decima. pridie calendas julii” – in other words, on 30 June. The illuminator was Guglielmo Giraldi, who proudly places his signature in the margin of the illumination on fol. 90v: CVL D F P, Gulielmus de Ferraria pinxit. The illustration shows a swee­ping urban view, described with exquisite clarity in its perspective lines, with neatly arranged buildings that appear almost to form a stage setting: the actors can be seen in a square, and a central stre­et opens up between two architectural wings, leading up to the ca­stle we can just make out on the hill. On the left, there is a pier with boats. The illuminator has imagined Athens, where the learned as­sembly is taking place, even though the city – almost “Albertian” in its shapes – recalls the concept of the ideal city. It pays tribute lo Ve­nice by citing the two columns on the pier with the statues of a young man and of a lion, the latter holding a cartouche bearing the words “Civitas Athena(rum) “. This description of the city, which is rationally laid out, is however not without its Gothic overtones, as we see in the building giving onto the sea, with its curious avant­-corps with column-bearing lions and a dome hidden by a tall pedi­ment."
"Atlantic Codex  (Codex Atlanticus), f. 812 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-812-recto-633x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._812_recto.jpg",,c. 1478,Drawing,,,,,Sala Federiciana,Automated cart (also known as “Leonardo’s car”).
