title,artist,image_url,image_path
Atlantic Codex  (Codex Atlanticus) f. 710 recto,Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Leonardo-da-Vinci-Codice-Atlantico-Mazzocchio-calcoli-riferiti-al-mazzocchio-1024x571.jpg,ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus)_f._710_recto.jpg
Figured casket,Scultore lombardo,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Scultore-lombardo-Cofanetto-a-figure-profane-960x1024.jpg,ambrosiana_images/Figured_casket.jpg
The Kiss,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2020/02/Hayez_ilbacio-1024x1024.jpg,ambrosiana_images/The_Kiss.jpg
llias picta,NA,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Combattimento-del-V-Libro-Diomede-assistito-da-Atena-ferisce-Fegeo-1024x884.jpg,ambrosiana_images/llias_picta.jpg
The Ambrosian Virgil of Francesco Petrarca,NA,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Frontespizio-del-Virgilio-Ambrosiano-o-Virgilio-del-Petrarca-con-note-autografe-di-Francesco-Petrarca-686x1024.jpg,ambrosiana_images/The_Ambrosian_Virgil_of_Francesco_Petrarca.jpg
Naturalis Historia,Plinio il Vecchio (23-79 dC),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Pagina-miniata-con-capolettera-M-della-Naturalis-Historia-763x1024.jpg,ambrosiana_images/Naturalis_Historia.jpg
Burse,Artista dell’Italia centrale,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Artista-dellitalia-centrale-Borsa-liturgica-1018x1024.jpg,ambrosiana_images/Burse.jpg
Libro d’Ore Borromeo,Cristoforo de Predis (1440-1486),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Libro-d-Ore-Borromeo-737x1024.jpg,ambrosiana_images/Libro_d’Ore_Borromeo.jpg
Noctes Atticae,Aulo Gellio,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-16-uomini-dotti-intorno-ad-Aulo-Gellio-696x1024.jpg,ambrosiana_images/Noctes_Atticae.jpg
"Atlantic Codex  (Codex Atlanticus), f. 812 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-812-recto-633x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._812_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 21 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-21-recto-747x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._21_recto.jpg"
Plato,Giovanni Antonio Piatti (1447-1480),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Antonio-Piatti-Platone-570x1024.jpg,ambrosiana_images/Plato.jpg
"Atlantic Codex  (Codex Atlanticus), f. 860 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-860-recto.-1024x682.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._860_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 858 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-858-recto-1024x662.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._858_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 49 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-49-recto-720x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._49_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 26 verso",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-26-verso-1024x755.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._26_verso.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 1069 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-1069-recto-1024x734.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._1069_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 139 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-139-recto-857x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._139_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 5 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-5-recto-688x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._5_recto.jpg"
Portrait of a Musician,Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Leonardo-da-Vinci-Ritratto-di-musico-780x1024.jpg,ambrosiana_images/Portrait_of_a_Musician.jpg
Sacra Conversazione,Ambrogio da Fossano detto il Bergognone (1453-1523),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Ambrogio-da-Fossano-detto-il-Bergognone-Sacra-Conversazione-1-766x1024.jpg,ambrosiana_images/Sacra_Conversazione.jpg
"Atlantic Codex  (Codex Atlanticus), f. 873 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-873-recto-793x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._873_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 33 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-33-recto-1024x572.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._33_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 909 verso",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-909-verso-794x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._909_verso.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 145 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-foglio-145-recto-1024x591.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._145_recto.jpg"
"Atlantic Codex  (Codex Atlanticus), f. 149 recto",Leonardo da Vinci (1452-1519),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Codice-Atlantico-Codex-Atlanticus-f-149-recto-659x1024.jpg,"ambrosiana_images/Atlantic_Codex__(Codex_Atlanticus),_f._149_recto.jpg"
The Adoration,Bartolomeo Suardi detto il Bramantino (1465-1530),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bartolomeo-Suardi-detto-il-Bramantino-Adorazione-del-Bambino-1016x1024.jpg,ambrosiana_images/The_Adoration.jpg
